key,en_US,es_ES,fr_FR,hi,ru,ja,iw,de,zh_CN
inventory_main_search,Search inventory item...,Buscar artículo en el inventario...,Rechercher un article d'inventaire...,इन्वेंट्री आइटम खोजें...,Поиск предмета инвентаря...,在庫アイテムを検索...,חפש פריט מלאי...,Inventargegenstand durchsuchen...,搜索库存商品...
settings_main_title,Settings,Ajustes,Paramètres,सेटिंग्स,Настройки,設定,הגדרות,Einstellungen,设置
settings_main_description,Manage your clinic settings and preferences,Administre la configuración y preferencias de su clínica,Gérez les paramètres et préférences de votre clinique,अपनी क्लिनिक सेटिंग और प्राथमिकताएँ प्रबंधित करें,Управляйте настройками и предпочтениями вашей клиники,クリニックの設定と好みを管理する,נהל את הגדרות והעדפות המרפאה שלך,Verwalten Sie Ihre Klinikeinstellungen und -präferenzen,管理您的诊所设置和偏好
settings_card_general_title,General,General,Général,सामान्य,Общий,一般的な,כְּלָלִי,Allgemein,一般的
settings_card_general_description,Basic clinic information and preferences,Información clínica básica y preferencias.,Informations cliniques de base et préférences,बुनियादी क्लिनिक जानकारी और प्राथमिकताएँ,Основная информация о клинике и предпочтения,クリニックの基本情報と希望条件,מידע בסיסי והעדפות מרפאה,Grundlegende Klinikinformationen und Präferenzen,基本诊所信息和偏好
settings_card_users_title,Users & Permissions,Usuarios y permisos,Utilisateurs et autorisations,उपयोगकर्ता एवं अनुमतियाँ,Пользователи и разрешения,ユーザーと権限,משתמשים והרשאות,Benutzer und Berechtigungen,用户和权限
settings_card_users_description,Manage staff accounts and access levels,Administrar cuentas de personal y niveles de acceso.,Gérer les comptes du personnel et les niveaux d'accès,स्टाफ खाते और पहुंच स्तर प्रबंधित करें,Управление учетными записями сотрудников и уровнями доступа,スタッフアカウントとアクセスレベルを管理する,ניהול חשבונות צוות ורמות גישה,Verwalten Sie Mitarbeiterkonten und Zugriffsebenen,管理员工帐户和访问级别
settings_card_billing_title,Billing & Payments,Facturación y pagos,Facturation et paiements,बिलिंग एवं भुगतान,Счета и платежи,請求と支払い,חיוב ותשלומים,Abrechnung und Zahlungen,账单与付款
settings_card_billing_description,Configure payment methods and invoice settings,Configurar métodos de pago y ajustes de factura,Configurer les modes de paiement et les paramètres de facture,भुगतान के तरीके और चालान सेटिंग कॉन्फ़िगर करें,Настройте способы оплаты и настройки счетов.,支払い方法と請求書の設定を構成する,הגדר אמצעי תשלום והגדרות חשבונית,Konfigurieren Sie Zahlungsmethoden und Rechnungseinstellungen,配置付款方式和发票设置
settings_card_notifications_title,Notifications,Notificaciones,Notifications,सूचनाएं,Уведомления,通知,התראות,Benachrichtigungen,通知
settings_card_notifications_description,Set up email and SMS notifications,Configurar notificaciones por correo electrónico y SMS,Configurer les notifications par e-mail et SMS,ईमेल और एसएमएस सूचनाएं सेट करें,Настройка уведомлений по электронной почте и SMS,電子メールと SMS 通知を設定する,"הגדר התראות דוא""ל ו-SMS",Richten Sie E-Mail- und SMS-Benachrichtigungen ein,设置电子邮件和短信通知
settings_card_integrations_title,Integrations,Integraciones,Intégrations,एकीकरण,Интеграции,統合,אינטגרציות,Integrationen,集成
settings_card_integrations_description,Connect with third-party services and apps,Conéctese con servicios y aplicaciones de terceros,Connectez-vous avec des services et des applications tiers,तृतीय-पक्ष सेवाओं और ऐप्स से जुड़ें,Подключайтесь к сторонним сервисам и приложениям,サードパーティのサービスやアプリと接続する,התחבר לשירותים ואפליקציות של צד שלישי,Verbinden Sie sich mit Diensten und Apps von Drittanbietern,与第三方服务和应用程序连接
settings_card_privacy_title,Data & Privacy,Datos y privacidad,Données et confidentialité,डाटा प्राइवेसी,Данные и конфиденциальность,データとプライバシー,נתונים ופרטיות,Daten & Datenschutz,数据与隐私
settings_card_privacy_description,Manage data retention and privacy settings,Administrar la configuración de privacidad y retención de datos,Gérer les paramètres de conservation et de confidentialité des données,डेटा प्रतिधारण और गोपनीयता सेटिंग्स प्रबंधित करें,Управляйте настройками хранения данных и конфиденциальности.,データ保持とプライバシー設定を管理する,נהל הגדרות שמירת נתונים ופרטיות,Verwalten Sie die Datenaufbewahrungs- und Datenschutzeinstellungen,管理数据保留和隐私设置
search_placeholder,Search...,Buscar...,Recherche...,खोज...,Поиск...,検索...,לְחַפֵּשׂ...,Suchen...,搜索...
action_view,View,Vista,Voir,देखना,Вид,ビュー,נוֹף,Sicht,看法
action_edit,Edit,Editar,Modifier,संपादन करना,Редактировать,編集,לַעֲרוֹך,Bearbeiten,编辑
action_delete,Delete,Borrar,Supprimer,मिटाना,Удалить,消去,לִמְחוֹק,Löschen,删除
action_back,Back,Atrás,Dos,पीछे,Назад,戻る,בְּחֲזָרָה,Zurück,后退
no_results,No results.,Sin resultados.,Aucun résultat.,कोई परिणाम नहीं.,Никаких результатов.,結果はありません。,אין תוצאות.,Keine Ergebnisse.,没有结果。
previous_page,Previous Page,Página anterior,Page précédente,पिछला पृष्ठ,Предыдущая страница,前のページ,העמוד הקודם,Vorherige Seite,上一页
next_page,Next Page,Página siguiente,Page suivante,अगला पृष्ठ,Следующая страница,次のページ,העמוד הבא,Nächste Seite,下一页
